Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, k-nucleotide,-1,113.7572021,84.92077637,0,8.888793945,3101,32,129964
C, k-nucleotide,-1,115.7005005,86.04315186,0,9.205322266,3177,32.2,129992
C, mandelbrot,-1,41.48278809,32.29119873,0,2.730834961,1126,34.5,33048
C, mandelbrot,-1,41.71783447,32.47662354,0,2.734375,1127,34.5,33020
C, mandelbrot,-1,41.6184082,32.39581299,0,2.73449707,1127,34.5,33356
C, mandelbrot,-1,41.53540039,32.32952881,0,2.734558105,1127,33.8,33284
C, mandelbrot,-1,41.54321289,32.33660889,0,2.733215332,1127,34.5,33092
C, mandelbrot,-1,41.51464844,32.31414795,0,2.733459473,1127,34,32952
C, mandelbrot,-1,41.2175293,32.08166504,0,2.73046875,1126,34.8,32952
C, mandelbrot,-1,41.52752686,32.32232666,0,2.73059082,1126,34.2,33000
C, mandelbrot,-1,41.57293701,32.36444092,0,2.730895996,1126,34.2,33044
C, mandelbrot,-1,41.62243652,32.40484619,0,2.730712891,1126,33.8,33020
C, mandelbrot,-1,41.52801514,32.32910156,0,2.730651855,1126,34,32940
C, mandelbrot,-1,41.54077148,32.32519531,0,2.733093262,1127,34.5,33020
C, mandelbrot,-1,41.44726563,32.25970459,0,2.733276367,1127,34.5,33016
C, mandelbrot,-1,41.60290527,32.38421631,0,2.733337402,1126,34.5,33028
C, mandelbrot,-1,41.55975342,32.35028076,0,2.730834961,1127,34.5,32976
C, mandelbrot,-1,41.65686035,32.42767334,0,2.730712891,1127,35,32928
C, mandelbrot,-1,41.33563232,32.17541504,0,2.730712891,1126,34.8,33056
C, mandelbrot,-1,41.46075439,32.27258301,0,2.733459473,1127,34,32976
C, mandelbrot,-1,41.28912354,32.13916016,0,2.731018066,1126,34.8,33028
C, mandelbrot,-1,41.44921875,32.26080322,0,2.733398438,1127,34.5,33292
C, n-body,-1,37.74365234,26.05383301,0,5.080505371,2102,30.8,1684
C, n-body,-1,37.70477295,26.03277588,0,5.080627441,2102,31,1696
C, n-body,-1,37.55529785,25.91992188,0,5.080444336,2102,30,1608
C, n-body,-1,37.8046875,26.1072998,0,5.080505371,2102,29.8,1604
C, n-body,-1,37.79772949,26.10601807,0.000488281,5.080444336,2102,30.2,1704
C, n-body,-1,37.84838867,26.13983154,0,5.080505371,2102,30.2,1584
C, n-body,-1,37.76849365,26.08062744,0,5.080749512,2102,29.8,1744
C, n-body,-1,37.78704834,26.0925293,0,5.080444336,2102,29.5,1684
C, n-body,-1,37.81506348,26.12133789,0,5.080505371,2102,29.8,1748
C, n-body,-1,37.78948975,26.09350586,0,5.080505371,2102,30.2,1684
C, n-body,-1,37.6138916,25.96099854,0,5.083007813,2102,30.2,1712
C, n-body,-1,37.40118408,25.80664063,0,5.080444336,2102,30.8,1744
C, n-body,-1,37.75585938,26.0333252,0,5.128967285,2122,30.2,1700
C, n-body,-1,37.56719971,25.9286499,0,5.080566406,2102,30.2,1696
C, n-body,-1,37.7767334,26.08166504,0,5.082946777,2102,29.8,1720
C, n-body,-1,37.87017822,26.16143799,0,5.081176758,2103,30.2,1740
C, n-body,-1,37.89837646,26.19158936,0,5.080627441,2102,30.5,1700
C, n-body,-1,37.82910156,26.1307373,0,5.07800293,2102,30.2,1588
C, n-body,-1,37.79034424,26.09674072,0.000488281,5.080505371,2102,29.8,1696
C, n-body,-1,37.80187988,26.07922363,0,5.082824707,2103,30,1744
C, regex-redux,-1,22.45629883,15.77301025,0,1.980712891,715,27.5,152044
C, regex-redux,-1,22.53143311,15.8203125,0,1.987976074,716,31.2,152044
C, regex-redux,-1,22.47290039,15.79101563,0,1.976623535,712,27.8,152140
C, regex-redux,-1,22.49902344,15.79089355,0,1.985778809,715,30.8,152048
C, regex-redux,-1,22.97521973,16.24816895,0,1.993347168,716,27.8,152128
C, regex-redux,-1,22.53594971,15.83001709,0,1.980163574,714,30.5,152192
C, regex-redux,-1,22.45727539,15.76263428,0,1.982177734,715,27.8,152132
C, regex-redux,-1,22.43395996,15.74523926,0,1.983764648,715,30.8,152176
C, regex-redux,-1,22.47546387,15.76745605,0,1.983642578,715,27.8,152304
C, regex-redux,-1,22.47607422,15.77972412,0,1.981384277,714,31.5,152168
C, regex-redux,-1,22.49176025,15.78692627,0,1.981506348,714,28,152256
C, regex-redux,-1,22.45770264,15.75878906,0,1.988220215,714,27.8,152168
C, regex-redux,-1,22.44378662,15.75439453,0,1.983764648,714,31,152168
